"행정구역","2020년03월_계_총인구수","2020년03월_계_연령구간인구수","2020년03월_계_10~19세","2020년03월_계_20~29세","2020년03월_계_30~39세","2020년03월_계_40~49세","2020년03월_계_50~59세","2020년03월_계_60~69세","2020년03월_계_70~79세","2020년03월_계_80~89세","2020년03월_계_90~99세","2020년03월_계_100세 이상","2020년03월_남_총인구수","2020년03월_남_연령구간인구수","2020년03월_남_10~19세","2020년03월_남_20~29세","2020년03월_남_30~39세","2020년03월_남_40~49세","2020년03월_남_50~59세","2020년03월_남_60~69세","2020년03월_남_70~79세","2020년03월_남_80~89세","2020년03월_남_90~99세","2020년03월_남_100세 이상","2020년03월_여_총인구수","2020년03월_여_연령구간인구수","2020년03월_여_10~19세","2020년03월_여_20~29세","2020년03월_여_30~39세","2020년03월_여_40~49세","2020년03월_여_50~59세","2020년03월_여_60~69세","2020년03월_여_70~79세","2020년03월_여_80~89세","2020년03월_여_90~99세","2020년03월_여_100세 이상"
"경상남도 진주시 충무공동(4817075000)","25,226","20,426","2,760","2,751","5,799","4,724","2,521","1,282","412","146","30","1","12,544","10,115","1,429","1,362","2,799","2,473","1,216","611","194","29","2","0","12,682","10,311","1,331","1,389","3,000","2,251","1,305","671","218","117","28","1"
"경상남도 통영시 (4822000000)","130,450","119,925","12,962","11,642","15,068","21,689","22,871","19,525","10,962","4,586","595","25","65,612","60,316","6,753","6,352","7,804","11,784","11,639","9,563","4,904","1,402","107","8","64,838","59,609","6,209","5,290","7,264","9,905","11,232","9,962","6,058","3,184","488","17"
"경상남도 통영시 산양읍(4822025000)","4,832","4,695","219","340","348","584","982","1,028","724","409","59","2","2,559","2,494","113","211","200","383","578","553","328","120","8","0","2,273","2,201","106","129","148","201","404","475","396","289","51","2"
"경상남도 통영시 용남면(4822031000)","12,890","11,515","1,439","1,124","1,594","2,274","2,126","1,535","912","440","70","1","6,443","5,778","742","585","765","1,241","1,095","787","393","154","15","1","6,447","5,737","697","539","829","1,033","1,031","748","519","286","55","0"
"경상남도 통영시 도산면(4822033000)","2,961","2,885","134","181","164","297","532","732","531","279","35","0","1,522","1,483","77","107","93","202","299","360","253","87","5","0","1,439","1,402","57","74","71","95","233","372","278","192","30","0"
"경상남도 통영시 광도면(4822034000)","31,225","27,123","3,909","2,725","5,096","6,395","4,438","2,754","1,231","504","71","0","15,823","13,720","2,024","1,453","2,479","3,416","2,263","1,383","548","143","11","0","15,402","13,403","1,885","1,272","2,617","2,979","2,175","1,371","683","361","60","0"
"경상남도 통영시 욕지면(4822035000)","2,076","2,023","106","123","130","279","428","466","306","168","17","0","1,146","1,121","68","66","90","181","251","240","161","62","2","0","930","902","38","57","40","98","177","226","145","106","15","0"
"경상남도 통영시 한산면(4822036000)","2,073","2,034","62","90","98","199","349","457","468","281","29","1","1,050","1,033","33","51","58","132","227","241","201","83","7","0","1,023","1,001","29","39","40","67","122","216","267","198","22","1"
"경상남도 통영시 사량면(4822037000)","1,515","1,496","39","76","79","123","332","353","281","192","19","2","758","748","19","53","53","74","188","192","117","49","3","0","757","748","20","23","26","49","144","161","164","143","16","2"
"경상남도 통영시 도천동(4822051000)","9,152","8,706","849","946","805","1,342","1,757","1,600","994","363","47","3","4,543","4,329","405","546","443","735","879","775","420","121","4","1","4,609","4,377","444","400","362","607","878","825","574","242","43","2"
